Yorum,Puan
ÜRÜN KISA SÜREDE ELİME ULAŞTI. PAKETLEME MÜKEMMEL. KÜÇÜK BİR SORUN YAŞADIM. HEPSİBURADA ARACILIĞIYLA İADE EDİP DEĞİŞİM İSTEDİM. İADE TALEBİ KABUL GÖRÜP PARA ÖDENDİ. BEN ÜRÜNÜ ALMAK İSTEDİĞİMİ BELİRTİP SATICI FİRMAYLA İLETİŞİME GEÇTİM. SATICI FİRMA GERÇEKTEN ÇOK İLGİLENDİ YENİ BİR ÜRÜN DAHA GÖDERDİ.SATICI FİRMAYA BU İLGİ VE ALAKALARINDAN DOLAYI TEŞEKKÜR EDERİM.,5
fiyat performans ürünü beklediğimden iyi çıktı kargo paket güzeldi marka ürünlere göre çok Uygun tavsiye ederim,5
İçindeki işlemci vs diğer markalarla aynı olduğuna göre kasanın üstündeki yazan markaya takılmamak lazım kardeşime aldık gayet güzel bir ürün tavsiye ederiz...sonuçta klasik bir söz var teknolojik araçların problem çıkarması sizin kullanımınıza göre de değişeceği gibi tamamen de şanstan ibarettir ...,5
Öğrenci için iyi bir ürün aynı zamanda kargo bir günde geldi ve malzeme paketlenisi harika yani tavsiye ederim bu fiyata bu ürün gayet guzel,5
Çok şık ve fiyatına göre gayet güzel bir ürün... Henüz yeni olduğu için kullanımı ile ilgili yorum yapamıyorum. Kargo gayet özenli paketlenmişti ve 1 günde elime ulaştı. Teşekkürler...,5
Kargo çok hızlıydı. Ürün performans olarak çok iyi. Beklediğimden iyi çıktı. Tavsiye ederim.,5
Çok zarif hoş bir bilgisayar tavsiye ederim bu fiyata daha iyisi zor bulunur,5
ürün gayet güzel ve kaliteli. Kısa sürede elime ulaştı ve güzel paketlenmişti.,5
"Ürünü sipariş verdikten sonra yetkiliyi arayıp hemen gönderimini rica ettik,sağolsun çok ilgili ve yardımcı oldu,2 gün içinde teslim aldık,ürün f/p ürünü çok begendim gönül rahatlığıyla alınır. Teşekkürler  iyi çalışmalar",5
"markaya değil donanıma ihtiyacınız varsa, düşünmeden alın",5
Çok hızlı geldi akşam geç saatte sipariş etmeme rağmen 24 saat içinde elimde oldu. Ürün gayet korumalı bir şekilde kargoya verilmiş ve hiç bir zarar görmemiş beklediğim gibi geldi. Teşekkür ediyorum.,5
hizmet firma ve ürün birbirini tamamlamış  çok tesekür ederiz emegi gecenlere,5
"Bu fiyata ideal Benim için takdir edilecek durum; Saat 2130 da sipariş verdim, saat 2200 de kargoya verildi ve sabah 0900 da ürünü teslim aldım.  Teşekkürler....",5
Urun bir gunde elimize ulasti herhangi bir sıkıntı yok fiyatina gore gayet guzel bir ürün,5
Alınabilecek bir Bilgisayar. Fiyatına göre mükemmel.  Hiçbir sorun yok.  Çok para verip almak marifet değil.  Kesinlikle öneririm...,5
Gayet iyi yazdığı gibi geldi,5
Güzel bir ürün Beklentimin üzerinde Kargoya verilme süresi hariç memnunum,5
kaliteli ürün,5
Tam zamanında geldi. ürün tam istediğim  gibi tavsiye ederim,5
Uygun fiyat ve performans...,5
"Hızlı teslimat, gayet başarılı, teşekkürler",5
ŞİMDİLİK SORUNSUZ GAYET İYİ,5
Çok çabuk geldi tşkler,5
Gayet başarılı...,5
"Sipariş verdikten bir gün sonra elimize ulaştı. Evde office programlarını kullanmak, zoom üzerinden ders takibi yapmak ve internette film ve müzik keyfi yapmak için aldık. Bir kötü özelliği Windows kurulu gelmiyor. Siz yükletmeniz gerekiyor. Bu laptop oyun için kullanıma elverişli değildir. Günlük ev kullanıcıları için ideal bir cihazdır. Alacak olanlara şimdiden hayırlı olsun dilerim.",5
Harika hayırlı olsun inşaallah,5
Hediye kulaklık için teşekkürler.,5
Ürün çok kaliteli çok hızlı çok memnun kaldım jet gibi fiyatı da uygun hiç düşünmeden alın 512 ssd harici hafıza kartı 8 GB ram bu fiyata mükemmel bilgisayar kargoda belirtilen tarihten 4 gün gecikmeyle geldi sadece ana sağlam sorunsuz geldi,5
Güzel şık ince ve hafif. Fiyat fayda dengesi uygun. Beğendim.,5
Notebook sorunsuz olarak geldi ve calisti.  Ancak paketlemede kutu uzeri balonlu naylonu tek kat degil de 3 kat kullanilsa  kargodaki olasi darbe ve kazalara karsi korumasi  daha guvenli olurdu.,5
"Gerçekten fiyat performans ürünü, gayet hızlı bir bilgisayar. Tüm işinizi rahatlıkla görür. Boşuna bu devirde gereksiz harcamalar yapmayın, kimse önünü göremiyor.",5
Ürün elime nerede ise 1 gün gibi çok kısa süre de ulaşmasın dan dolayı firmaya çok teşekkürlerimi sunuyorum şuana kadar bilgisayar henüz yeni kullandığım için birşey söylemem doğru olmaz ama hizmet olarak çok memnun kaldım gönül rahatlığı ile alışveriş yapabilirsiniz. İyi günler hayırlı işler,5
Görüntüsü burada görününden çok daha güzel ve şık. Ağır değil ve gayet kullanışlı. Şarj aleti normallere göre küçük. Ve bilgisayar hızlı çalışıyo. Gayet başarılı.,5
"Fatura bilgilerini yanlış girmiştim.Bu hatamı ürün geldikten sonra farkettim. Sonra düzeltilmesini istedim, hemen   ilgilenip değiştirdiler.Teşekkür ederim.",5
Kargo hızlıydı. Ürün elime ulaştı ve memnun kaldım. Freedos olması çok sorun yaratmadı çünkü bir format ve güncellemeyle halledilebiliyor. Ben çok beğendim. Tavsiye ederim. Sadece paketlemeye bi tık özen gösterilebilir. Kutusunun dışı patpata sarılıydı o kadar🤷🏻‍♀️,5
HP kaitesi ortada söylenecek ekstra bir söz yok paketleme ve hızlı kargo ürün elime sorunsuz ulaştı teşekkürler,5
"Keşke 2 adet alsaydım, süper fiyat güzel makine, cd sürücüsü olmaması, freedos olması eksik yanı. 10. nesil İ3 256 SSD inanılmaz fiyat, hızlı kargo teşekkürler HB",5
Ürün 3 günde elime ulaştı.paketleme ve teslimat konusunda sıkıntı yok.Cihaz oldukça güzel.Hızı ve özellikleri fiyatına göre iyi.Tavsiye edilir.,5
Harika bir ürün paketleme yine muhteşem. Pişman etmediğiniz için teşekkür ederim:),5
Ürün fiyatına göre gayet güzel arkadaşlar tavsiye ederim. Ses hız görüntü gayet güzel.teşekkürler :),5
Sorunsuz şekilde teslim aldım tşkler,5
"Urun guzel,ancak ekran karti dahili yani harici ekran karti yk.oyun oynamaknusteyenler dikkat...",5
Ürün 4300 iken almıştım f/p ürünü idi,5
Ürün kısa sürede  ve sorunsuz elimize ulaştı.fiyat performans olarak şuanın koşullarında gönül rahatlıgıyla alabilirsiniz.,5
Henüz kurulumunu yapmadım ama hızlı açılıyor. Güzel bir ürüne benziyor. Kargo da hızlıydı beğendim. Paketleme özenliydi,5
Hızlı kargo kaliteli ürün paketleme güzel tsk ederim,5
Fiyat performans ürünü kargo gec geldi sadece,5
Hızlı teslimat için teşekkür ederim,5
Kargo çok hızlı geldi sağlam bir şekilde elime ulaştı,5
Bilgisayar gayet iyi. Hızlı çalışıyor ve şık,5
Harika bellek 8 gb bence uygundur,5
KALİTELİ ÜRÜN,5
beş yıldız,5
Ürün gayet hızlı ve güzel fan sesi yok hoparlör kalitesi iyi güvenilir satıcı teşekkürler.,5
Mükemmel bir bilgisayar gerçekten iyiki almışım yani monster alınmıyacaksa uygun fiyata alınabilecek en iyi bilgisayar diyebilirim,5
ürün kısa bir sürede elime ulaştı ve beklediğimden çok daha iyi bir bilgisayar. çalışırken ses desen yok. o kadar kullandım ısınma yok. aşırı hızlı. tasarımı ve inceliği çok iyi. müzik dinledim test ettim hoparlörü de çok iyi. kamerasını da online derslerde test ettim ve gayet güzel. bilgisayarcımızda windows 10 kurulumu yaptırdım. hiç sorunsuz her şey tıkırında gidiyor. fiyatı da işlevi de çok iyi. kesinlikle tavsiye edilir.,5
Bilgisayar hemen geldi.guzel paketleme.Tesekkur ederim. Tek sorun 4 taksit işaretledim fakat peşin ödeme alınmış. 2 ay zorlanacagim.,5
Kargo cok iyi ve hizli bilgisayari sevdim w10 pro yukledim her sey gayet iyi freedos aklinizda soru isareti birakmasin arkadaslar 50₺ ve 1 saatle halledilir öneririm,5
Ürün güzel 50 tl.ye yükledim Windows u zehir gibi tavsiye ederim,5
Ürün gayet hızlı ve sıkıntısız geldi. Aynen anlatıldığı gibi oyunlarda gayet iyi fps alıyorum. Gayet şık bir bilgisayar. Tek sıkıntım ekranın parlaklığını fullememe rağmen düşük olması ve hoperlörünün sesinin yüksek olmaması onun dışında ürün gayet güzel ve kaliteli.,5
Başarılı bir bilgisayar 144 Hz olsa tadından yenmez di. Hızlı kargolama oldu lakin güvenlik görevlisi teslim almış kutuyu böyle görseydim almazdım . Delik deşik bir kutuydu . Neyse ki bilgisayar sağlam çıktı,5
Ürün İstanbuldan Mersine 1.5 günde geldi. Hoparlörden gelen ses çok güzel. Ekran 60hz. Donma veya kasma yaşamadım. Isınmıyor ve rahat bir kullanımı var. Touchpad biraz parmak izi tutuyor. Hızlı bir ssd ye sahip(test sonuçları paylaşıldı.). Ürünü uygun fiyata sattığı için hepsiburadaya ve hızlı bir şekilde elime ulaştırdığı için hepsijet e çok teşekkür ediyorum.,5
"Ertesi gün kargoya verildi, çok çabuk elime ulaştı. İndirimden aldığım için arızalı bir mal gelecek diye endişeliydim fakat kolayca Windows'u kurdum, 1 gündür elimde ve henüz bir arızayla karşılaşmadım. Hp'nin bu modellerinin menteşelerinin çok iyi olmadığı bir sır değil. Menteşe kısmı baya gıcırdıyo çok sağlam hissettirmiyo da ama çok kaba kullanılmadığı sürece bir sorun olacağını sanmıyorum. Henüz çok kısa süre oyun oynadım fakat oynadığım kadarıyla beklediğim performansı veriyor.",5
Gönderi çok hızlı elime ulaştı. Ürün performans değerlendirmesini yorumunu işletim sistemi yükledikten sonra yapacağım.,5
Aynı gün kargoya verildi gelsin bakalım detayları yazarım,5
"Ürün gerçekten harika, amd ryezen 5 10. Nesil i7 den bile daha iyi bir işlemci, ekran karti gtx 1650 ti, bu gtx 1650 den bile daha iyi olmasi anlamına geliyor,, ekrani harika hiç yansıma yapmiyor renkler canli, isterseniz renk doygunluğunu amd denetim masasından ayarlayabiliyorsunuz. Ses sistemi muhteşem birisi yorumda bass az demis ama alakasi yok basslar ayrıcacok doygun tizler net ayrica bq denemtim masasından bass tiz oranini ayarlayabiliyorsunuz daha önce 2 Monster notebook kullanan birisi olarak söylüyorum kesinlikle alin tek eksi yani 2 tane usb girişinin olması, ayrıca bi usb girisinde hızlı sarj desteği var.",5
"Pc f/p açısından güzel indirimde  iken sipariş ettim.2 gün içerisinden Ankara'dan Kayseri'ye geldi.Kendi orijinal kutusunun üzerinde hepsi burada kutusu büyük olduğu için kutu içerisinde sağa sola sallanıyordu.Buna bağlı olarak sağ balantı vidasından gıcırtı ve sallantı sesi geliyor.Taşıma için bu çok.Ssd hızı,kullanımı gayet  güzel fan sesi ilk etapta rahatsız edebilir.Tasarımı düşündüğümden daha ince.Sesi net",5
İlk izlenim olarak iyi 7-8 k arasındaki fiyatıyla rakiplerinden daha hesaplı ve güçlü ama ses sistemi bang olufsen markası olarak tizlerde çok iyi olsa da baslarda kötü performans veriyor titreşim yapıyor yüksek baslarda. Performansı ve hızı ise oldukça iyi. Aras kargo ile 1.5 günde geldi oldukça hızlı.,5
"Televizyon ve cep telefonundan sonra dizüstünü de satıcı hepsiburada olandan aldım, ucuz ve kaliteli ürünler, hızlı kargolama için hepsiburadaya çok teşekkür ederim. Dizüstüne gelince ısınmıyor, 512 gb ssd, 4600h işlemci ve 1650ti ekran kartı hp kalitesiyle buluşmuş. dizaynı hoşuma gitti,",5
Valla on numara beş yıldız inceleme videosu çektim buyrun https://youtu.be/teiK3YL8nWk,5
Ürünü sipariş verdim umarım ürün aldığım gibi gelir,5
23 ünde sipariş verdim bugün (26) teslim edildi hepsi burada ve hepsijet e teşekkürler pc hakkında da daha kullanmadım ama internetteki genel yorumlara göre 60hz ekran kare hızının bu donanımda bir pc ye göre düşük kalmış olması bakalım hayırlısı,5
Siparş verdik hayırlısı,5
Fiyat performans düzeyi çok iyi. Freedos olması kullanıcıya göre değişiklik gösterebilir.,5
"Çok iyi.. önceki i7 işlemcili bilgisayarımda sadece oyun oynayabiliyordum en düşük seviyede, bunda ise 3 oyunu aynı anda indirirken oyun oynadım hemde yüksek ayarda süper..",5
Fişek gibi bir cihaz 9 sn de açılıyor ürünü çok beğendim kargo da çok hızlıydı,5
ÜRÜN ÇOK İYİ AMA 2 TANE USB CIKISI VAR TYCE CIKISI 1 TANE ÇOK İYİ TAVSİYE EDERİM,5
23 nde verdim 25 nde aldım teşekkürler.,5
Oyun bilgisayarı... gayet iyi,5
Teşekkürler gayet güzel 👍,5
Ürün oldukça özenli paketlenmişti ve hızlı elime ulaştı. Tam f/p,5
10 numara 5 yıldız şikâyet yok şuana kadar,5
Ürünü 10 Eylülde 4000₺ iken aldım. 12 Eylülde elime ulaştı. Fırsatçılıkla bu pandemi döneminde arttırılan fiyatları göz önünde bulundurunca fiyatına göre kaliteli bir ürün. Açıklamalarda belirtildiği üzere freedos olarak geliyor. Bunu göz önünde bulundurarak almanızı öneririm. Bir de sipariş ettiğim günün ertesi günü 300₺ zamlı bir fiyat yazmışlardı. Cidden yazık.,5
Ssd 500 lük olsa tadından yenmezdi gayet şık ve kullanışlı bir bilgisayar,5
Urun boyle kaliyor acilmiyor ne yapmam lazim,5
"Ortaokula okula giden kızımın uzaktan eğitimi için aldık. i3 işlemci ve 8 GB RAM ile tam ihtiyacına yönelik, biz gayet memnunuz. Freedos olarak geliyor, Windows’u siz satın alıp yüklüyorsunuz. Klavyesinin beyaz olmasına takılmazsanız, gayet iyi bir bilgisayar. 24 saatten kısa sürede İstanbul içinde teslim ettiler.",5
Bazı olumsuz yorumlar vardı sipariş verdikten sonra tedirgin olmuştum. Ama ürün pırıl pırıl ve aynen anlatıldığı gibi. Günlük ihtiyaçlarınızı yeterince karşılar. Windows kurulu geldi. Çözünürlük inanılmaz kaliteli. Bu özelliklerle yabancı marka bilgisayarlara 7-8 bin verilirdi. Çok da uygun fiyatlıydı. Üstelik salı günü saat 4 te sipariş verdim çarşamba günü 12 de ürün elimdeydi. Gayet özenli bir şekilde de paketlenmişti. Çok teşekkürler Teknorya ve Hepsi burada 👏🏻👏🏻👏🏻,5
İyi,5
Çok güzel bir laptop keşke fiyatı biraz daha düşse de hemen alsam :(,5
"Mükemmel bir bilgisayar, indirimi kaçırdım fiyatı düşünce anında alacağım bir ürün inşallah düşer 🙏🙏🙏🙏",5
Görüntü kalitesi mükemmel...Oyun konsolum olduğu için sadece gündelik ihtiyaçlarımı karşılamak için aldım...Bana iyi ki almışım dedirtti...Windows yüklü olması da cabası...Tam bir fiyat performans ürünü diyebiliriz...,5
Güzel ve kullanışlı,5
Güzel fiyata göre en uygunu,5
Ürün elime çok hızlı ulaştı fiyat performans ürünü gayet başarılı kaliteli görünüyor,5
Teslimat çok hızlıydı. Ürün çok güzel bizim işimizi görüyo çok sessiz çalışıyo çok ince ve şık,5
Bu fiyata bu bilgisayar gerçekten çok iyi,5
"Kullanışlı. İnce ve hafif bir laptop, umarım hep bu şekilde gider",5
ön yargılardan kurtulmak lazım mış. oldukça kaliteli bir ürün,5
Teşekkürler,5
Guzel,5
bilgisayarcıyım.teknik servisciyim. kesinlikle öneirim. bu fiyata en iyisi bu. yeğenlerime aldım. gayet iyi.  lenovo idepad serisini gözü kapalı alabilirsiniz. ekran kasası metal. çok iyi. bıu fiyata şahane.,5
Çok güzel şuan alınacak orta üst seviye. Steam den birsuru oyun indirdim test ettim. Cs Go da en üst ayarlarda tık yok. Windows pro kurduk orjinal 6 sene kullan eksiksiz. 256 gb biraz eksik kalabilir. Üzerinde m2 sata var. Ek 1TB 2.5 inc harddisk takarım herhalde.,5
Hiçbir sorun yaşamadım hızlı kargo ile elime ulaştı,5
"Ürünü yeni aldım. Ürün gayet güzel. İnce zarif ve oldukça hafif. Yorumlarda olmayan bir özelliğini söylememde fayda olacaktır. Şöyle ki; batarya gömülü halde. Yani çıkaramıyorsunuz. Ancak bunu avantaja çevirecek bir özellik eklemişler. Batarya fullendiğinde prize takılı olsa bile şarj almıyor ve batarya kendini kapatıyor. Fişi çıkardığınız anda devreye giriyor, böylelikle batarya zarar görmemiş oluyor. Almanızı tavsiye ederim. Fiyatına göre çok iyi.",5
"Fiyatına göre işlemcisi ve ekran kartı alabileceginizin en iyisi. Cihazın dış görünüşü ve performansı gayet iyi. Pili ne iyi ne kötü. Windows 10 yükleme sırasında diski gpt ye cevirmem gerekti yoksa disk seçimi sırasında ""Windows bu diske yüklenemez......"" uyarısı alıyorsunuz.",5
"Gerçekten çok iyi. Üzerinde i3 işlemci var ama 10. versiyon. Bu işlemci hız ve enerji tüküketimi açısından oldukça iyi. Hard disk hızı da oldukça iyi. Hafif, ince, taşıması kolay. Pili saatlerce gidiyor, Üzerinde harici ekran kartı olduğundan dolayı görüntü işleme yönünden de iyi ve yine aynı sebepten dolayı sistemdeki 8GB belleğin tamamı windows'a, uygulamalarınıza kalıyor. 8gb bellek ile satılan ama onboard ekran kartı olduğu için sistem belleğini kullanan, ve geriye 5.5gb bellek kalan laptoplara göre önemli bir avantaj. Kasası şık. Klavye hissi hoş. Ekran çözünürlüğü iyi, görüntü kalitesi de gayet iyi. Fiyatına göre çok güzel bir bilgisayar.",5
Gayet ince ve çok bir bilgisayar haftasonu sipariş etmeme rağmen pazartesi elime ulaştı günlük kullanım için birebir,5
"Ödeme seceneklerinde ki rahatlık olsun,  Ürünün kalitesi olsun, fiyatı olsun her yönüyle çok hesaplı bir laptop Dün kurulumu yaptım çok beğendim Sesi kaliteli ancak biraz az gibi geldi bana  Bu fiyatlara aldığımızı düşünürsek bu da görmezden gelinebilir.",5
"F/P ürünü. Verdiğiniz paranın karşılığını alıyorsunuz. i3 10. nesil olduğu için işlemci çok hızlı, ve günlük işlerinizi yapabiliyorsunuz. Ekran kartı olduğu için ramden yemiyor ve rami tam olarak kullanabiliyorsunuz. SSD sayesinde hiç takılma olmuyor. Sarjı 4 saat kadar gidiyor. En güzel yanı çok hafif olması,  toplamda 1,7 kg olduğu için taşıması çok kolay. Ayrıca 12gb ram e kadar çıkarabiliyorsunuz fakat ram eklemeye şuan için hiç gerek yok.",5
"Tam bir fiyat performans ürünü, ses ve kamera vasat ama diğer özellikler fiyatını kesinlikle karşılıyor. 23:30 da onayladığım sipariş, sonraki gün 15:30 da teslim edildi. Teşekkürler hepsiburada.",5
"Salı günü akşam verdiğim sipariş perşembe öğlen elime ulaştı, hızlı ve sorunsuz kargo süreci için teşekkürler. Piyasayı düşününce fiyat normal gözüküyor, bu fiyata işletim sistemi yüklü cihazlarda bu özellikleri bulamıyorsunuz, freedos almak mantıklı ve SSD artık şart cihazlarda. Yeğenim için almıştım, uzun bir süre ihtiyaçlarını karşılayacaktır.",5
"Bilgisayar bu fiyat seviyesi için ideal. Şarjı uzun gidiyor, gayet sessiz (yanlış birşey yapıp 2 defa bilgisayarı sıfırlamam gerekti en son yeniden yüklerken duydum fan sesini o da baya düşük). Oyun oynuyorsanız düşük te 60 fos görür. He bide kargoya pazar akşamı vermişler salı sabahı elime ulaştı baya hızlılar di bu sefer.",5
Bu üründe ram 8 gb bu çok önemli.daha önceki dizüstüm i5 ti ama bu i3 10. Nesil işlemcili pc onu hiç aratmıyor.sesi yok denecek kadar az ve ssd li tabiki.şu pahalılıkta gayet iyi bir ürün...,5
"Cihaz gayet güzel. Bios da boot ayarlarını yaptıktan sonra windows u kurabilirsiniz. Bios a girmek için Fn+F2 ye basıyorsunuz. Diğer taraftan notebook çok hafif. kasası metalik gri. sanırım alüminyumsan tamamı. şarj aleti de güzel, hoşuma gitti. özellikleri zaten istediğim özelliklerdeydi, onu bilerek aldım. iş ve eğitim için fazlasıyla yeter.",5
Tam bir fiyat/performans ürünü. M2 SSD olması ayrı bir avantaj. Çift ekran kartını kullanıyor. Bu özellik sayesinde fazla güç tüketmiş olmuyor. Hafif işlerde intel dahili grafiğini kullanıyor. Ekran kartı gereken yerlerde ekran kartı devreye giriyor. Tek dezavantajı Freedos olması.,5
Bu fiyata alınabilecek en iyi opsiyonlardan birisi. Ekran renkleri mükemmel değil ama zaten neredeyse iyi bir monitör alsanız bu fiyatlara geliyor. i3 olması sizi yanıtlmasın. 4-5 sene önceki i7 lerle yarışacak bir performansı var. Yüksek grafik ihtiyaçlı oyun oynamayacaksanız her işinizi fazlasıyla yapabilecek bir bilgisayar.,5
Bilgisayarı 1 haftadir kullanıyorum çok memnunum.   Cuma gecesi sipariş verdim cumartesi öğlen kargoyu teslim aldım inanilmaz hızlı bir şekilde geldi.,5
Ürün gerçekten harika fakat kargo kolisi çok kötüydü. Şans eseri kırılmadan ulaşmış. Fiyat gerçekten efsaneydi. Fiyat için teşekkürler ams ambalaj için 😡😡😡 çünkü kırılabilirmiş.,5
Teşekkürler hepsiburada size ait ürünler berzaman sorunsuz,5
Ürün iki günde geldi öncelikle teşekkürler fiyatına göre makul bir ürün oyuncu bilgisayarı değil tabiki ancak iş görmek için fiyatına göre çok çok iyi umarım ilerleyen süreçte de memnun kalirim,5
👍👍👍 süper,5
"fiyatına göre ideal bir bilgisayar, teslimatta herhangi bir sıkıntı yaşamadım",5
Ürünü beğendim güzel istediğim gibi teslimat hızlı geldi,5
"Emsallerine göre daha düşük fiyatı vardı, şimdi değişmiş. Kargo çok hızlı. Hepsi burada ya teşekkürler.",5
"Harika bir bilgisayar, performansı, fiyatı v de özellikle lisanlı Windows 10 ile birlikte gelmesi,çok büyük artı",5
"çok iyi bir bilgisayar , kardeşim lisede onun için aldım gayet yeterli üniversite için de normal hayatta da kullanır",5
